"Date","Year","Month","MonthName","Decade","Station","StationName","Network","City","County","Lat","Lon","Elev_m","Tmax_C","Tmin_C","Tmed_C","Tdew_C","RHmax","RHmin","RHmed","Precip_mm","THImax","THImin","THImed","THImax_cat","THI75","THI79","THI84","THImax_rh","THImin_rh","THImed_rh","Imputed","ImputedVar"
2006-01-01,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.09,-0.55,6.27,-1.99,88.53,37.25,62.89,0,53.57,39.93,46.75,"Normal",0,0,0,56.38,32.73,44.56,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-02,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,14.77,3.09,8.93,3.09,92.9,65.94,79.42,18.27,57.08,45.4,51.24,"Normal",0,0,0,58.46,38.36,48.41,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-03,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.39,5.13,9.26,4.23,92.12,68.18,80.15,0.25,56.11,47.85,51.98,"Normal",0,0,0,56.42,41.96,49.19,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-04,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.78,2.51,8.15,1.47,90.97,52.36,71.67,0,55.51,44.24,49.88,"Normal",0,0,0,57.1,37.6,47.35,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-05,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,14.98,3.69,9.33,1.61,90.46,45,67.73,0.25,56.76,45.47,51.11,"Normal",0,0,0,58.64,39.66,49.15,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-06,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.32,-2.16,3.08,-4.02,86.67,45.9,66.28,3.47,48.07,37.59,42.83,"Normal",0,0,0,50.26,30.32,40.29,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-07,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,5.93,-5.5,0.22,-7.89,83.59,36.86,60.22,0,44.29,32.86,38.57,"Normal",0,0,0,48.03,25.36,36.69,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-08,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,11.96,-3.03,4.46,-3.18,88.78,37.37,63.08,0,52.01,37.03,44.52,"Normal",0,0,0,55.05,28.5,41.78,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-09,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,18.32,4.08,11.2,4.08,92.57,48.39,70.48,0,60.99,46.75,53.87,"Normal",0,0,0,62.95,40.12,51.54,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-10,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,16.06,5.39,10.73,4.86,92.31,59.68,75.99,0,59.01,48.34,53.68,"Normal",0,0,0,60.24,42.4,51.32,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
